model,CV_MAE,CV_RMSE,CV_R2,CV_MAPE_%
LightGBM,151482.9341972248,267873.1795846737,0.8247718471218098,13.492912470794366
XGBoost,151975.31884062506,269065.89616103313,0.8229972787374342,13.530924431205502
CatBoost,155985.14099597058,274539.6044843841,0.8157613311617998,13.897923442352466
RandomForest,164105.94777548074,292643.322586594,0.7906762790157131,14.67536073119179
Ridge (baseline),211039.64154908078,362303.4037440121,0.676773969486719,19.287189022166
